Date,CBON,CHIR,CQQQ,DBA,ECNS,EPS,FXI,IAU,IEO,IYW,KWEB,MCHI,MTUM,PGJ,SCHA,SCHO,SCHX,SPHD,SPHQ,TLT,VHT,VIXY,VNQ,VTV,VUG
2021-01-04,22.385866165161133,40.74264907836914,82.5851058959961,15.330892562866211,43.82347869873047,37.69593811035156,43.141300201416016,37.099998474121094,32.50058364868164,82.7615737915039,70.18865966796875,76.2342758178711,153.9697265625,61.28352355957031,42.115142822265625,48.638526916503906,42.955570220947266,32.925514221191406,39.84099578857422,146.48883056640625,213.75546264648438,301.0,73.74266052246094,108.97499084472656,245.1208953857422
2021-01-05,22.353633880615234,41.00546646118164,84.29444122314453,15.416540145874023,43.99966049194336,37.93378829956055,44.315345764160156,37.18000030517578,34.35594177246094,83.43299865722656,73.3494873046875,78.6834716796875,155.364501953125,64.21607208251953,42.7916374206543,48.629066467285156,43.25212860107422,33.20102310180664,40.13774490356445,145.4009246826172,215.07113647460938,289.6000061035156,73.85034942626953,109.79155731201172,246.71142578125
2021-01-06,22.284574508666992,41.122276306152344,83.34040069580078,15.349924087524414,44.66912078857422,38.333396911621094,43.80286407470703,36.599998474121094,35.37865447998047,81.86307525634766,71.24227142333984,77.06005859375,154.16209411621094,62.42557907104492,44.37012481689453,48.61013412475586,43.51522445678711,34.2585334777832,40.28133773803711,142.4160919189453,218.48037719726562,287.79998779296875,73.97599029541016,112.43611907958984,244.0113983154297
2021-01-07,22.19708824157715,41.14882278442383,84.2248764038086,15.340409278869629,45.039085388183594,38.82814407348633,44.110347747802734,36.47999954223633,36.35612106323242,84.29202270507812,71.92024993896484,77.6512451171875,158.93307495117188,64.01283264160156,45.08979034423828,48.61013412475586,44.19447708129883,34.15190124511719,40.87483215332031,141.16078186035156,221.90887451171875,270.20001220703125,73.83238983154297,113.2712631225586,249.64707946777344
2021-01-08,22.1740665435791,41.281558990478516,87.96158599853516,15.359440803527832,45.85830307006836,38.932804107666016,45.02348709106445,35.2599983215332,35.939796447753906,84.89432525634766,75.66741943359375,80.18486022949219,161.55905151367188,66.64534759521484,45.09458923339844,48.60067367553711,44.443214416503906,34.1163444519043,41.03756332397461,140.7052001953125,222.82119750976562,267.6000061035156,74.55033874511719,113.35478973388672,252.31759643554688
2021-01-11,22.216426849365234,42.19214630126953,86.24230194091797,15.245244979858398,45.056705474853516,38.818626403808594,44.41783142089844,35.15999984741211,36.57333755493164,84.15377044677734,73.03797912597656,78.47700500488281,159.57757568359375,64.7967758178711,45.11857604980469,48.61013412475586,44.17055892944336,34.134124755859375,41.07585906982422,140.47276306152344,223.9639892578125,284.0,73.56317138671875,113.54964447021484,248.92054748535156
2021-01-12,22.321409225463867,42.41249465942383,88.18022155761719,15.483154296875,45.611656188964844,38.91376876831055,44.995540618896484,35.36000061035156,38.28389358520508,84.04517364501953,73.25786590576172,79.38724517822266,160.52020263671875,65.68719482421875,45.93899917602539,48.61013412475586,44.227962493896484,34.4718132019043,40.893978118896484,140.36114501953125,222.31222534179688,274.3999938964844,73.73367309570312,114.02288818359375,248.43942260742188
2021-01-13,22.210906982421875,42.314266204833984,88.051025390625,15.540252685546875,45.60284423828125,38.95182800292969,45.12598419189453,35.2400016784668,37.50554656982422,84.42037200927734,73.75260925292969,80.05350494384766,161.07810974121094,65.58073425292969,45.63673400878906,48.61013412475586,44.30928039550781,34.48960494995117,40.951412200927734,141.94189453125,222.85960388183594,270.0,74.6311264038086,114.10639190673828,249.38197326660156
2021-01-14,22.24774169921875,42.11781311035156,89.13427734375,15.7115478515625,45.7878303527832,38.91376876831055,45.33097839355469,35.220001220703125,38.52825927734375,83.96617126464844,74.60465240478516,80.54145812988281,160.1354522705078,66.21949768066406,46.46675109863281,48.61013412475586,44.17055892944336,34.82728576660156,40.77910614013672,140.61219787597656,223.04208374023438,273.3999938964844,75.07086181640625,114.62603759765625,246.95689392089844
2021-01-15,22.22011375427246,41.83906173706055,88.1702880859375,15.75912857055664,45.3033561706543,38.66640853881836,45.30302047729492,34.79999923706055,37.125423431396484,83.22566223144531,74.0091323852539,80.37255859375,158.3751983642578,65.44522857666016,45.8238525390625,48.61959457397461,43.83570861816406,34.64066696166992,40.568511962890625,141.17013549804688,223.09007263183594,280.20001220703125,75.93241119384766,113.51252746582031,245.5626983642578
2021-01-19,22.175912857055664,45.40706253051758,93.25855255126953,15.721064567565918,47.399837493896484,38.92329025268555,47.25043869018555,35.099998474121094,37.939964294433594,84.54872131347656,77.83877563476562,83.2533950805664,160.1739044189453,68.0777587890625,46.365997314453125,48.629066467285156,44.19447708129883,34.57733154296875,40.91312789916992,141.62574768066406,225.36610412597656,272.3999938964844,75.717041015625,113.99504089355469,248.29214477539062
2021-01-20,22.284574508666992,45.821205139160156,95.38530731201172,15.644933700561523,49.52273941040039,39.32289123535156,48.70401382446289,35.65999984741211,37.7318115234375,86.50373077392578,81.56763458251953,85.76825714111328,163.4058837890625,69.60694122314453,46.56271743774414,48.638526916503906,44.79240417480469,34.76467514038086,41.2290153503418,141.76519775390625,226.33607482910156,266.79998779296875,77.16190338134766,114.28270721435547,254.1143035888672
2021-01-21,22.252344131469727,45.582279205322266,95.92194366455078,15.673481941223145,49.795806884765625,39.379974365234375,48.42448043823242,35.63999938964844,36.26561737060547,87.61946105957031,81.65009307861328,85.48673248291016,164.069580078125,70.0908432006836,46.183685302734375,48.629066467285156,44.80675506591797,34.550559997558594,41.28645324707031,140.77029418945312,225.34693908691406,264.6000061035156,76.7939453125,113.72593688964844,255.33175659179688
