Date,SPY,^IRX
2021-01-04,352.7672424316406,0.06800000369548798
2021-01-05,355.19671630859375,0.07800000160932541
2021-01-06,357.3203430175781,0.07800000160932541
2021-01-07,362.62921142578125,0.07999999821186066
2021-01-08,364.69537353515625,0.07999999821186066
2021-01-11,362.237060546875,0.07999999821186066
2021-01-12,362.31353759765625,0.07999999821186066
2021-01-13,363.28924560546875,0.07999999821186066
2021-01-14,362.01702880859375,0.07500000298023224
2021-01-15,359.3769226074219,0.07500000298023224
2021-01-19,362.1987609863281,0.0729999989271164
2021-01-20,367.2110900878906,0.07500000298023224
2021-01-21,367.5458679199219,0.0729999989271164
2021-01-22,366.2449951171875,0.07000000029802322
2021-01-25,367.6893005371094,0.07000000029802322
2021-01-26,367.11541748046875,0.06800000369548798
2021-01-27,358.1429443359375,0.05999999865889549
2021-01-28,361.22308349609375,0.054999999701976776
2021-01-29,353.9915771484375,0.04800000041723251
2021-02-01,359.88397216796875,0.04800000041723251
2021-02-02,364.9727478027344,0.05000000074505806
2021-02-03,365.25970458984375,0.03999999910593033
2021-02-04,369.4111633300781,0.029999999329447746
2021-02-05,370.8651428222656,0.023000000044703484
2021-02-08,373.5434875488281,0.019999999552965164
2021-02-09,373.2947692871094,0.032999999821186066
2021-02-10,373.1321105957031,0.03500000014901161
2021-02-11,373.7347412109375,0.03500000014901161
2021-02-12,375.5809020996094,0.03500000014901161
2021-02-16,375.2557067871094,0.03500000014901161
2021-02-17,375.341796875,0.03500000014901161
2021-02-18,373.7442932128906,0.023000000044703484
2021-02-19,373.0843505859375,0.023000000044703484
2021-02-22,370.21466064453125,0.02500000037252903
2021-02-23,370.6642761230469,0.023000000044703484
2021-02-24,374.7486877441406,0.02800000086426735
2021-02-25,365.7189025878906,0.032999999821186066
2021-02-26,363.83441162109375,0.03500000014901161
2021-03-01,372.65386962890625,0.02800000086426735
2021-03-02,369.7460021972656,0.03500000014901161
2021-03-03,364.8484191894531,0.03500000014901161
2021-03-04,360.33349609375,0.02800000086426735
2021-03-05,366.9624328613281,0.02800000086426735
2021-03-08,365.1353759765625,0.03500000014901161
2021-03-09,370.3486328125,0.03500000014901161
2021-03-10,372.65386962890625,0.029999999329447746
2021-03-11,376.4322814941406,0.02800000086426735
2021-03-12,376.93927001953125,0.02500000037252903
2021-03-15,379.1871643066406,0.014999999664723873
2021-03-16,378.7088623046875,0.00800000037997961
2021-03-17,380.0002136230469,0.00800000037997961
2021-03-18,374.47137451171875,0.003000000026077032
2021-03-19,373.7784118652344,0.004999999888241291
2021-03-22,376.7630615234375,0.004999999888241291
2021-03-23,373.7976379394531,0.009999999776482582
2021-03-24,371.8974304199219,0.014999999664723873
2021-03-25,373.98956298828125,0.014999999664723873
2021-03-26,380.01641845703125,0.014999999664723873
2021-03-29,379.824462890625,0.00800000037997961
2021-03-30,378.8168029785156,0.013000000268220901
2021-03-31,380.352294921875,0.013000000268220901
2021-04-01,384.4597473144531,0.00800000037997961
2021-04-05,389.9779357910156,0.014999999664723873
2021-04-06,389.74761962890625,0.014999999664723873
2021-04-07,390.1986083984375,0.009999999776482582
2021-04-08,392.05084228515625,0.004999999888241291
2021-04-09,394.901123046875,0.003000000026077032
2021-04-12,395.04510498046875,0.009999999776482582
2021-04-13,396.21588134765625,0.014999999664723873
2021-04-14,394.86273193359375,0.014999999664723873
2021-04-15,399.1044921875,0.009999999776482582
2021-04-16,400.4385070800781,0.00800000037997961
2021-04-19,398.47113037109375,0.014999999664723873
2021-04-20,395.5537109375,0.014999999664723873
2021-04-21,399.2964782714844,0.013000000268220901
2021-04-22,395.6496276855469,0.014999999664723873
2021-04-23,399.939453125,0.014999999664723873
2021-04-26,400.7743835449219,0.00800000037997961
2021-04-27,400.6880798339844,0.009999999776482582
2021-04-28,400.5728454589844,0.00800000037997961
2021-04-29,403.1255798339844,0.00800000037997961
2021-04-30,400.4769287109375,0.003000000026077032
2021-05-03,401.340576171875,0.004999999888241291
2021-05-04,398.8645935058594,0.009999999776482582
2021-05-05,398.9893493652344,0.00800000037997961
2021-05-06,402.1755065917969,0.00800000037997961
2021-05-07,405.10260009765625,0.00800000037997961
2021-05-10,401.0910949707031,0.004999999888241291
2021-05-11,397.511474609375,0.009999999776482582
2021-05-12,389.06622314453125,0.009999999776482582
2021-05-13,393.73992919921875,0.00800000037997961
2021-05-14,399.785888671875,0.004999999888241291
2021-05-17,398.76861572265625,0.004999999888241291
2021-05-18,395.3329772949219,0.009999999776482582
2021-05-19,394.2965393066406,0.004999999888241291
2021-05-20,398.53839111328125,0.003000000026077032
2021-05-21,398.2120666503906,0.003000000026077032
2021-05-24,402.27154541015625,0.003000000026077032
2021-05-25,401.3789978027344,0.009999999776482582
2021-05-26,402.1755065917969,0.004999999888241291
2021-05-27,402.38665771484375,0.004999999888241291
2021-05-28,403.1064758300781,0.00800000037997961
2021-06-01,402.7513732910156,0.009999999776482582
2021-06-02,403.38470458984375,0.014999999664723873
2021-06-03,401.88763427734375,0.014999999664723873
2021-06-04,405.5632019042969,0.014999999664723873
2021-06-07,405.16973876953125,0.017999999225139618
2021-06-08,405.25616455078125,0.019999999552965164
2021-06-09,404.6514892578125,0.019999999552965164
2021-06-10,406.532470703125,0.019999999552965164
2021-06-11,407.20428466796875,0.017999999225139618
2021-06-14,408.1159973144531,0.014999999664723873
2021-06-15,407.367431640625,0.019999999552965164
2021-06-16,405.09295654296875,0.02800000086426735
2021-06-17,404.9586486816406,0.02800000086426735
2021-06-18,399.4955749511719,0.02800000086426735
